FRB,ra,ra_err,dec,dec_err,DMobs,e_DMobs_up,e_DMobs_low,zsp,e_zsp,width,e_width_up,e_width_low,flux,e_flux_up,e_flux_low,fluence,e_fluence_up,e_fluence_low,rep,age,telescope,peak_freq,Central_Frequency,Inst_Bandwidth,sp_idx,sp_idx_err,logMstar(Msun),e_logMstar_up,e_logMstar_low,SFR(Msun/yr),e_SFR_up,e_SFR_low,host,ra_host,dec_host,ref,source,logMstar,log(Z),e_log(Z)_up,e_log(Z)_low,SFR,e_SFRr_up,tm,e_tm_up,e_tm_low,MB,MU,Mg,MR,MI,MZ,My,W1,W2,W3,W4,MV,MJ,MH,MK,F110W,F160W,F300X,CH1,FUV,NUV,GL_deg,GB_deg,DM_ism,DM_halo,H0_70_DM_host,H0_70_xval_label,DM_e,rest_width,DL,νW,Lν,TB_K,Energy,mst_central_label,pca_kmeans_label,2feature_mst_central_label,2feature_pca_kmeans_label
20230526A,22.232625,-9999.0,-52.71733333,-9999.0,361.4,0.2,0.2,0.157,-9999.0,4.7,-9999.0,-9999.0,7.234042553191489,-9999.0,-9999.0,34.0,1.0,1.0,0.0,-9999.0,ASKAP,-9999.0,1271.5,336.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,-9999.0,2408.02083,in_both,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,21.08,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,17.1,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,290.17096006,-63.47210299,31.859872817993164,34.06496884073963,145.48002468695674,1.0,295.47515834126716,4.062229904926534,777.7108909415731,0.00597605,5.235140903143088e+33,1.3476641045343482e+34,1.2759807559951171e+44,2,3,2,1
20230708A,303.1155417,-9999.0,-55.35627778,-9999.0,411.51,0.5,0.5,0.105,-9999.0,23.6,-9999.0,-9999.0,4.703389830508474,-9999.0,-9999.0,111.0,4.0,4.0,0.0,-9999.0,ASKAP,-9999.0,920.5,336.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,-9999.0,2408.02083,in_both,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,22.65,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,18.8,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,342.62880068,-33.38769642,60.326316833496094,58.032446936688515,189.15580681935845,1.0,293.15123622981537,21.35746606334842,503.3353232142305,0.0217238,1.425728231351526e+33,2.7774540860930328e+32,1.826996538998879e+44,2,3,2,1
20230902A,52.13979167,-9999.0,-47.3335,-9999.0,440.1,0.1,0.1,0.3619,-9999.0,5.9,-9999.0,-9999.0,3.8983050847457625,-9999.0,-9999.0,23.0,2.0,2.0,0.0,-9999.0,ASKAP,-9999.0,832.5,336.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,-9999.0,2408.02083,in_both,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,21.522,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,20.36,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,256.99055216,-53.33873551,34.13512420654297,32.633917553005645,51.8014512905084,0.0,373.3309582404514,4.332182979660769,1998.775099306748,0.00491175,1.863436678599428e+34,7.101071125574248e+34,4.84364919762242e+44,2,3,2,1
20231226A,155.36375,-9999.0,6.11025,-9999.0,329.9,0.1,0.1,0.1569,-9999.0,11.8,-9999.0,-9999.0,6.610169491525423,-9999.0,-9999.0,78.0,3.0,3.0,0.0,-9999.0,ASKAP,-9999.0,863.5,336.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,-9999.0,2408.02083,in_both,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,18.99,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,18.08,-9999.0,-9999.0,-9999.0,-9999.0,20.9423,20.6013,236.57681863,48.64582197,38.09101867675781,31.596719353110753,115.08424778517296,1.0,260.2122619701314,10.199671536001384,777.1682618801384,0.0101893,4.776982638218116e+33,4.230061632373133e+33,2.9234192305803667e+44,2,3,2,1
20240201A,149.9055833,-9999.0,14.08802778,-9999.0,374.5,0.2,0.2,0.042729,-9999.0,9.5,-9999.0,-9999.0,4.947368421052632,-9999.0,-9999.0,47.0,3.0,3.0,0.0,-9999.0,ASKAP,-9999.0,920.5,336.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,-9999.0,2408.02083,in_both,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,16.97,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,15.317,14.399,14.126,-9999.0,-9999.0,-9999.0,-9999.0,23.05,20.7752,222.13351862,47.96916586,38.616512298583984,30.88457144618837,260.13298879337594,1.0,304.99891625522764,9.110708535007658,196.27620596272936,0.0087447499999999,2.280449797466927e+32,2.7416212046692096e+32,1.246590806006305e+43,2,3,2,1
20240210A,8.779583333,-9999.0,-28.27075,-9999.0,283.73,0.5,0.5,0.023686,-9999.0,9.5,-9999.0,-9999.0,2.736842105263158,-9999.0,-9999.0,26.0,2.0,2.0,0.0,-9999.0,ASKAP,-9999.0,863.5,336.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,-9999.0,2408.02083,in_both,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,24.16,25.27,25.15,23.72,20.43,21.91,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,21.98,21.09,21.23,-9999.0,-9999.0,-9999.0,-9999.0,17.3162,17.0662,14.43958196,-86.21156486,28.692808151245117,32.37791365494755,199.31742116078144,1.0,222.65927819380735,9.28018943308788,107.30670618131576,0.00820325,3.7706344026239423e+31,5.1513879998448475e+31,2.0995320923561e+42,2,1,2,1
20240310A,17.621875,-9999.0,-44.43941667,-9999.0,601.8,0.2,0.2,0.127,-9999.0,7.1,-9999.0,-9999.0,4.929577464788733,-9999.0,-9999.0,35.0,2.0,2.0,0.0,-9999.0,ASKAP,-9999.0,920.5,336.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,-9999.0,2408.02083,in_both,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,20.143,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,291.70662408,-72.27128843,30.10094833374023,33.151663375907006,387.1423210422567,1.0,538.5473882903527,6.299911268855368,617.4886818123395,0.0065355499999999,2.2489440622329248e+33,4.840565498150839e+33,8.500888824411942e+43,2,3,2,1
20230203A,151.66159,-9999.0,35.6941,-9999.0,420.1,-9999.0,-9999.0,0.1464,-9999.0,-9999.0,-9999.0,-9999.0,6.2,-9999.0,-9999.0,173.0,-9999.0,-9999.0,0.0,-9999.0,CHIME/FRB,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,-9999.0,2502.11217,in_both,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,20.501,19.082,18.084,17.561,17.171,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,17.44,17.396,16.915,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,188.71253717,54.08702676,36.26272201538086,29.89972694013253,205.52666547832263,1.0,353.9375510444866,-9999.0,720.5081482726218,-9999.0,3.8510613497062954e+33,-9999.0,5.624059722715615e+44,2,3,2,1
20230222A,106.96036,-9999.0,11.22452,-9999.0,706.1,-9999.0,-9999.0,0.1223,-9999.0,-9999.0,-9999.0,-9999.0,4.5,-9999.0,-9999.0,129.2,-9999.0,-9999.0,0.0,-9999.0,CHIME/FRB,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,-9999.0,2502.11217,in_both,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,17.53,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,204.71637782,8.69573626,134.19850158691406,36.992231831670765,388.9791506892801,1.0,534.9092665814152,-9999.0,592.8604412448042,-9999.0,1.8924674307650863e+33,-9999.0,2.9048298678885517e+44,2,3,2,1
20230222B,238.73912,-9999.0,30.8987,-9999.0,187.8,-9999.0,-9999.0,0.11,-9999.0,-9999.0,-9999.0,-9999.0,91.3,-9999.0,-9999.0,37.5,-9999.0,-9999.0,0.0,-9999.0,CHIME/FRB,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,-9999.0,2502.11217,in_both,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,19.668,18.208,17.523,17.179,16.905,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,49.61758206,49.97872118,27.73301124572754,38.95568256848256,29.617830316841605,0.0,121.11130618578991,-9999.0,529.0261571086623,-9999.0,3.0572856900023336e+34,-9999.0,6.787733541048964e+43,0,3,1,2
20230311A,91.10966,-9999.0,55.94595,-9999.0,364.3,-9999.0,-9999.0,0.1918,-9999.0,-9999.0,-9999.0,-9999.0,9.5,-9999.0,-9999.0,12.2,-9999.0,-9999.0,0.0,-9999.0,CHIME/FRB,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,-9999.0,2502.11217,in_both,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,19.38,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,157.71337657,16.03946791,92.4559555053711,34.27402119038383,68.13833894488185,0.0,237.5700233042451,-9999.0,969.9299460301254,-9999.0,1.069338728402032e+34,-9999.0,6.913522660904669e+43,1,3,0,1
20230703A,184.62445,-9999.0,48.72993,-9999.0,291.3,-9999.0,-9999.0,0.1184,-9999.0,-9999.0,-9999.0,-9999.0,9.4,-9999.0,-9999.0,8.4,-9999.0,-9999.0,0.0,-9999.0,CHIME/FRB,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,-9999.0,2502.11217,in_both,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,18.08,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,137.2097857,67.47502062,26.927583694458008,30.655144373803,123.9036703172314,1.0,233.717271931739,-9999.0,572.5230905140409,-9999.0,3.6865898410284065e+33,-9999.0,1.7673816697469758e+43,1,3,0,1
20230730A,54.66456,-9999.0,33.1593,-9999.0,312.5,-9999.0,-9999.0,0.2115,-9999.0,-9999.0,-9999.0,-9999.0,43.9,-9999.0,-9999.0,37.1,-9999.0,-9999.0,0.0,-9999.0,CHIME/FRB,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,-9999.0,2502.11217,in_both,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,21.41,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,158.81663517,-17.81644809,85.1561508178711,33.7548047336349,16.970031477812636,0.0,193.589044448494,-9999.0,1081.6687272938025,-9999.0,6.145596213582956e+34,-9999.0,2.572179327653582e+44,0,3,1,1
20230926A,269.12488,-9999.0,41.8143,-9999.0,222.8,-9999.0,-9999.0,0.0553,-9999.0,-9999.0,-9999.0,-9999.0,26.8,-9999.0,-9999.0,28.4,-9999.0,-9999.0,0.0,-9999.0,CHIME/FRB,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,-9999.0,2502.11217,in_both,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,15.46,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,68.23527902,27.48398452,52.61996841430664,44.21998469773229,77.84253464504239,0.0,125.96004688796108,-9999.0,256.29840169221285,-9999.0,2.106383985575984e+33,-9999.0,1.2691016317852162e+43,1,3,1,1
20231005A,246.028,-9999.0,35.44871,-9999.0,189.4,-9999.0,-9999.0,0.0713,-9999.0,-9999.0,-9999.0,-9999.0,221.2,-9999.0,-9999.0,60.0,-9999.0,-9999.0,0.0,-9999.0,CHIME/FRB,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,-9999.0,2502.11217,in_both,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,21.017,18.782,17.947,17.457,17.103,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,57.16529291,44.35315679,33.470375061035156,39.60267354965366,55.65690065824938,0.0,116.3269513893112,-9999.0,334.1499171900994,-9999.0,2.9551449830550515e+34,-9999.0,4.489366546347665e+43,0,3,1,2
20231011A,18.2411,-9999.0,41.7491,-9999.0,186.3,-9999.0,-9999.0,0.0783,-9999.0,-9999.0,-9999.0,-9999.0,129.5,-9999.0,-9999.0,58.3,-9999.0,-9999.0,0.0,-9999.0,CHIME/FRB,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,-9999.0,2502.11217,in_both,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,17.92,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,127.22869925,-20.94298363,70.35018157958984,35.358358018698915,16.89956635263328,0.0,80.59146040171126,-9999.0,368.7160726760867,-9999.0,2.1065164819896136e+34,-9999.0,5.276856609341568e+43,0,3,1,2
20231017A,346.75429,-9999.0,36.65268,-9999.0,344.2,-9999.0,-9999.0,0.245,-9999.0,-9999.0,-9999.0,-9999.0,33.6,-9999.0,-9999.0,8.2,-9999.0,-9999.0,0.0,-9999.0,CHIME/FRB,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,-9999.0,2502.11217,in_both,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,20.36,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,100.60980037,-21.65190357,64.55065155029297,39.104019767983175,31.30369701546035,0.0,240.54532868172384,-9999.0,1276.3624769790863,-9999.0,6.549351330349886e+34,-9999.0,7.702908908328887e+43,1,3,1,1
20231025B,270.78807,-9999.0,63.98908,-9999.0,368.7,-9999.0,-9999.0,0.3238,-9999.0,-9999.0,-9999.0,-9999.0,6.0,-9999.0,-9999.0,5.2,-9999.0,-9999.0,0.0,-9999.0,CHIME/FRB,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,-9999.0,2502.11217,in_both,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,23.627,21.868,20.913,20.704,20.474,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,93.43324314,29.43399566,48.58866500854492,37.7601896955538,9.662592856219726,0.0,282.3511452959013,-9999.0,1756.3246952625957,-9999.0,2.2144802972379057e+34,-9999.0,8.698668640003859e+43,1,3,0,1
20231123A,82.62325,-9999.0,4.47554,-9999.0,302.1,-9999.0,-9999.0,0.0729,-9999.0,-9999.0,-9999.0,-9999.0,52.7,-9999.0,-9999.0,56.8,-9999.0,-9999.0,0.0,-9999.0,CHIME/FRB,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,-9999.0,2502.11217,in_both,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,18.29,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,199.30944345,-15.74274898,89.74861907958984,34.222734223905576,111.97046686414345,1.0,178.1286466965046,-9999.0,342.02377829029825,-9999.0,7.376225246450365e+33,-9999.0,4.445943054885708e+43,0,3,1,2
20231128A,199.5782,-9999.0,42.99271,-9999.0,331.6,-9999.0,-9999.0,0.1079,-9999.0,-9999.0,-9999.0,-9999.0,2.8,-9999.0,-9999.0,67.7,-9999.0,-9999.0,0.0,-9999.0,CHIME/FRB,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,-9999.0,2502.11217,in_both,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,17.31,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,105.68523927,73.2240021,25.006284713745117,31.662034917891553,170.0692543683512,1.0,274.93168036836335,-9999.0,518.2177333341775,-9999.0,8.99691311857093e+32,-9999.0,1.1780801866992612e+44,2,3,2,1
20231201A,54.58929,-9999.0,26.81767,-9999.0,169.4,-9999.0,-9999.0,0.119,-9999.0,-9999.0,-9999.0,-9999.0,35.1,-9999.0,-9999.0,10.8,-9999.0,-9999.0,0.0,-9999.0,CHIME/FRB,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,-9999.0,2502.11217,in_both,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,19.43,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,163.04052488,-22.7702363,69.95204162597656,32.52889899134219,-9999.0,-9999.0,66.91905938268125,-9999.0,575.646059465447,-9999.0,1.3916471774519892e+34,-9999.0,2.295973895569378e+43,1,3,1,1
20231204A,207.99903,-9999.0,48.116,-9999.0,221.0,-9999.0,-9999.0,0.0644,-9999.0,-9999.0,-9999.0,-9999.0,4.7,-9999.0,-9999.0,25.5,-9999.0,-9999.0,0.0,-9999.0,CHIME/FRB,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,-9999.0,2502.11217,in_both,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,17.353,16.054,15.511,15.199,15.022,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,97.62375629,65.92814517,29.82865524291992,32.19149009381622,101.32238762773112,1.0,158.97985466326386,-9999.0,300.3779957639046,-9999.0,5.073936675573833e+32,-9999.0,1.5517928617516942e+43,2,3,2,1
20231206A,112.44284,-9999.0,56.25627,-9999.0,457.7,-9999.0,-9999.0,0.0659,-9999.0,-9999.0,-9999.0,-9999.0,9.9,-9999.0,-9999.0,179.4,-9999.0,-9999.0,0.0,-9999.0,CHIME/FRB,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,-9999.0,2502.11217,in_both,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,16.12,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,161.05816747,27.48189499,59.135868072509766,31.813692147618035,294.9702682583404,1.0,366.7504397798722,-9999.0,307.69422216687656,-9999.0,1.1214626948878112e+33,-9999.0,1.1439495288538255e+44,2,3,2,1
20231223C,259.54465,-9999.0,29.49794,-9999.0,165.8,-9999.0,-9999.0,0.1059,-9999.0,-9999.0,-9999.0,-9999.0,68.1,-9999.0,-9999.0,287.2,-9999.0,-9999.0,0.0,-9999.0,CHIME/FRB,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,-9999.0,2502.11217,in_both,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,16.49,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,52.31072392,32.08016178,47.86592483520508,46.34315681786305,-9999.0,-9999.0,71.59091834693189,-9999.0,507.9485923303329,-9999.0,2.1023140298693736e+34,-9999.0,4.810279421417157e+44,0,3,1,2
20231229A,26.46783,-9999.0,35.11292,-9999.0,198.5,-9999.0,-9999.0,0.019,-9999.0,-9999.0,-9999.0,-9999.0,211.2,-9999.0,-9999.0,95.5,-9999.0,-9999.0,0.0,-9999.0,CHIME/FRB,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,-9999.0,2502.11217,in_both,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,14.27,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,135.34491098,-26.44334852,58.180301666259766,33.34770606225891,90.33643657711242,0.0,106.97199227148133,-9999.0,85.77953510983016,-9999.0,1.8593975087482049e+33,-9999.0,4.950610616620951e+42,1,3,1,2
20220207C,310.199525,-9999.0,72.88232722,-9999.0,262.38,0.01,0.01,0.04304,-9999.0,0.5,-9999.0,-9999.0,32.4,-9999.0,-9999.0,16.2,-9999.0,-9999.0,0.0,1.0,DSA-110,-9999.0,1405.0,187.5,-9999.0,-9999.0,-9999.0,0.03,0.03,-9999.0,0.12,0.13,-9999,-9999.0,-9999.0,2307.03344/2409.16964,in_both,9.95,-0.7,0.06,0.05,0.71,-9999.0,6.12,0.45,0.48,-9999.0,-9999.0,16.43,16.15,15.96,15.77,15.67,16.43,17.1,15.84,15.14,-9999.0,-9999.0,15.45,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,106.93849734,18.38959215,76.09967041015625,39.2083826834892,108.40716747926945,1.0,147.07194690635455,0.4793680012271821,197.7488382289489,0.0007025,1.5159464002103697e+33,2.824053498136731e+35,4.3601771750183217e+42,1,3,1,1
20220307B,350.8745,-9999.0,72.19238889,-9999.0,499.27,0.06,0.06,0.248123,-9999.0,0.5,-9999.0,-9999.0,6.4,-9999.0,-9999.0,3.2,-9999.0,-9999.0,0.0,1.0,DSA-110,-9999.0,1405.0,187.5,-9999.0,-9999.0,-9999.0,0.03,0.04,-9999.0,1.35,1.03,-9999,-9999.0,-9999.0,2307.03344/2409.16964,in_both,10.14,-1.51,0.07,0.12,3.17,-9999.0,3.64,0.45,0.43,-9999.0,-9999.0,21.11,20.45,20.14,19.82,19.43,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,19.5,18.82,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,116.24594745,10.47179894,128.22433471679688,41.27320891644381,100.57292980531165,1.0,329.7724563667593,0.4006015432773853,1294.8059840214723,0.0007025,1.2838087287005324e+34,2.391604697053989e+36,3.0857745479424676e+43,1,3,0,0
